-1	2.2.1.1
1	2.2.1.1a

1	2|2012705837|A/chicken/Egypt/0876/2008_{2.2.1.1}
2	1|2012705837|A/chicken/Egypt/0876/2008_{2.2.1.1}
3	1|AB601131|A/chicken/Egypt/RIMD13-1/2008_{2.2.1.1}
4	1|AB601135|A/chicken/Egypt/RIMD27-2/2009_{2.2.1.1}
5	1|CY126026|A/chicken/Menofia/CAI29/2009_{2.2.1.1}
6	1|EPI_ISL_81482|A/chicken/Egypt/2095-65/2010_{2.2.1.1a}
7	1|EPI_ISL_81484|A/chicken/Egypt/2095-70/2010_{2.2.1.1a}
8	1|EPI_ISL_81488|A/chicken/Egypt/3982-3/2010_{2.2.1.1a}
9	1|EPI_ISL_81507|A/poultry/Egypt/4794-18/2010_{2.2.1.1a}
10	1|FJ686846|A/chicken/Egypt/20NLQP-CLEVB238/2008_{2.2.1.1}
11	1|GQ184247|A/chicken/Egypt/08139S-NLQP/2008_{2.2.1.1}
12	1|GU811747|A/chicken/Egypt/095941v-NLQP/2009_{2.2.1.1a}
13	2|HM013664|A/chicken/Dakahlia/106/2008_{2.2.1.1}
14	1|HM013664|A/chicken/Dakahlia/106/2008_{2.2.1.1}
15	1|HQ198295|A/chicken/Egypt/10159s/2010_{2.2.1.1a}
16	1|JN714467|A/chicken/Egypt/VSVRI/2009_{2.2.1.1a}
17	2|JN807840|A/chicken/Egypt/115AD/2011_{2.2.1.1a}
18	1|JN807840|A/chicken/Egypt/115AD/2011_{2.2.1.1a}
