-1	2.1.1
1	2.1.2

1	1|CY091791|A/chicken/Tabanan/BBVD-107/2007_{2.1.1}
2	2|DQ320928|A/chicken/Salatiga/BBVet-I/2005_{2.1.2}
3	1|DQ320928|A/chicken/Salatiga/BBVet-I/2005_{2.1.2}
4	1|DQ320929|A/chicken/Wonosobo/BPPV4/2003_{2.1.1}
5	1|DQ497646|A/chicken/Sragen/BPPV4/2003_{2.1.1}
6	1|DQ497664|A/turkey/Kedaton/BPPV3/2004_{2.1.2}
7	1|EPI_ISL_104056|A/chicken/Indonesia/R132/2004_{2.1.1}
8	2|EU124054|A/Chicken/Indonesia/Wates83/2005_{2.1.2}
9	1|EU124054|A/Chicken/Indonesia/Wates83/2005_{2.1.2}
10	1|EU124104|A/Duck/Pali/BBVW1358/2005_{2.1.1}
